"id","slug","source_url","local_path","mime_type"
"1995","regularplaceholder","https://fcsa.ca/wp-content/uploads/2025/11/regularPlaceholder.png","assets/images/regularPlaceholder.png","image/png"
"1994","platinumplaceholder","https://fcsa.ca/wp-content/uploads/2025/11/platinumPlaceholder.png","assets/images/platinumPlaceholder.png","image/png"
"1982","reg","https://fcsa.ca/wp-content/uploads/2025/11/reg.png","assets/images/reg.png","image/png"
"1980","platinumwide","https://fcsa.ca/wp-content/uploads/2025/11/platinumWide.png","assets/images/platinumWide.png","image/png"
"1978","platinum","https://fcsa.ca/wp-content/uploads/2025/11/platinum.png","assets/images/platinum.png","image/png"
"1975","andrew","https://fcsa.ca/wp-content/uploads/2025/11/andrew.webp","assets/images/andrew.webp","image/webp"
"1971","1920_nokia-refreshed-logo-2-1","https://fcsa.ca/wp-content/uploads/2025/11/1920_nokia-refreshed-logo-2-1.png","assets/images/1920_nokia-refreshed-logo-2-1.png","image/png"
"1702","xplore-logo-4","https://fcsa.ca/wp-content/uploads/2022/09/Xplore-Logo-3.png","assets/images/Xplore-Logo-3.png","image/png"
"1696","xplore-logo-3","https://fcsa.ca/wp-content/uploads/2022/09/Xplore-Logo-2.png","assets/images/Xplore-Logo-2.png","image/png"
"1694","xplore-logo-2","https://fcsa.ca/wp-content/uploads/2022/09/Xplore-Logo-1.png","assets/images/Xplore-Logo-1.png","image/png"
"1691","xplore-logo","https://fcsa.ca/wp-content/uploads/2022/09/Xplore-Logo.png","assets/images/Xplore-Logo.png","image/png"
"1430","fcsa-map-2","https://fcsa.ca/wp-content/uploads/2020/12/FCSA-Map.png","assets/images/FCSA-Map.png","image/png"
"1391","teksavvylogo_whitebg_cmyk-002-3","https://fcsa.ca/wp-content/uploads/2020/10/TekSavvyLogo_WhiteBG_CMYK-002-2.png","assets/images/TekSavvyLogo_WhiteBG_CMYK-002-2.png","image/png"
"1384","teksavvylogo_whitebg_cmyk-002-2","https://fcsa.ca/wp-content/uploads/2020/10/TekSavvyLogo_WhiteBG_CMYK-002-1.png","assets/images/TekSavvyLogo_WhiteBG_CMYK-002-1.png","image/png"
"1379","teksavvylogo_whitebg_cmyk-002","https://fcsa.ca/wp-content/uploads/2020/10/TekSavvyLogo_WhiteBG_CMYK-002.png","assets/images/TekSavvyLogo_WhiteBG_CMYK-002.png","image/png"
"1022","fcsa-logo_fr_k","https://fcsa.ca/wp-content/uploads/2019/12/FCSA-logo_Fr_K.png","assets/images/FCSA-logo_Fr_K.png","image/png"
"1012","full-width-header-bg-2","https://fcsa.ca/wp-content/uploads/2019/12/Full-Width-Header-BG.jpg","assets/images/Full-Width-Header-BG.jpg","image/jpeg"
"649","schedule-a","https://fcsa.ca/wp-content/uploads/2019/08/Schedule-A.xls","assets/images/Schedule-A.xls","application/vnd.ms-excel"
"569","pdf","https://fcsa.ca/wp-content/uploads/dlm_uploads/2019/08/pdf.pdf","assets/documents/pdf.pdf","application/pdf"
"549","telus-quebec-logo-png-transparent","https://fcsa.ca/wp-content/uploads/2019/07/telus-quebec-logo-png-transparent.png","assets/images/telus-quebec-logo-png-transparent.png","image/png"
"548","bell_aliant_logo_bellaliant-2","https://fcsa.ca/wp-content/uploads/2019/07/Bell_Aliant_logo_BellAliant-1.png","assets/images/Bell_Aliant_logo_BellAliant-1.png","image/png"
"547","bch-logo-colour-cmyk-500-2","https://fcsa.ca/wp-content/uploads/2019/07/bch-logo-colour-cmyk-500-1.png","assets/images/bch-logo-colour-cmyk-500-1.png","image/png"
"1086","fcsa-logo_eng","https://fcsa.ca/wp-content/uploads/2019/07/FCSA-logo_Eng.png","assets/images/FCSA-logo_Eng.png","image/png"
"545","fcsa-logo_eng","https://fcsa.ca/wp-content/uploads/2019/07/FCSA-logo_Eng.png","assets/images/FCSA-logo_Eng.png","image/png"
"536","ontera-website-logo","https://fcsa.ca/wp-content/uploads/2019/07/ontera-website-logo.png","assets/images/ontera-website-logo.png","image/png"
"534","zayo_logo_2019","https://fcsa.ca/wp-content/uploads/2019/07/Zayo_Logo_2019.png","assets/images/Zayo_Logo_2019.png","image/png"
"532","xplornet","https://fcsa.ca/wp-content/uploads/2019/07/Xplornet.png","assets/images/Xplornet.png","image/png"
"530","new-wire-logo","https://fcsa.ca/wp-content/uploads/2019/07/new-wire-logo.png","assets/images/new-wire-logo.png","image/png"
"527","terago_logo3x","https://fcsa.ca/wp-content/uploads/2019/07/TeraGo_Logo@3x.png","assets/images/TeraGo_Logo@3x.png","image/png"
"525","telus","https://fcsa.ca/wp-content/uploads/2019/07/Telus.png","assets/images/Telus.png","image/png"
"524","sasktel_logo","https://fcsa.ca/wp-content/uploads/2019/07/SaskTel_logo.png","assets/images/SaskTel_logo.png","image/png"
"523","navigata-logo","https://fcsa.ca/wp-content/uploads/2019/07/Navigata-logo.png","assets/images/Navigata-logo.png","image/png"
"522","hydro-quebec_logo-svg","https://fcsa.ca/wp-content/uploads/2019/07/Hydro-Québec_logo.svg_.png","assets/images/Hydro-Québec_logo.svg_.png","image/png"
"521","eastlink_tv_logo","https://fcsa.ca/wp-content/uploads/2019/07/Eastlink_TV_Logo.png","assets/images/Eastlink_TV_Logo.png","image/png"
"518","bell_mts_logo","https://fcsa.ca/wp-content/uploads/2019/07/Bell_MTS_logo.png","assets/images/Bell_MTS_logo.png","image/png"
"516","bell_mobility_logo-svg","https://fcsa.ca/wp-content/uploads/2019/07/Bell_Mobility_logo.svg_.png","assets/images/Bell_Mobility_logo.svg_.png","image/png"
"486","bell_aliant_logo_bellaliant","https://fcsa.ca/wp-content/uploads/2019/07/Bell_Aliant_logo_BellAliant.png","assets/images/Bell_Aliant_logo_BellAliant.png","image/png"
